Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,123.6,-62.6,90.0,top
C1,128.575,-58.9,0.0,top
C10,153.1,-57.3,90.0,top
C13,167.0,-105.5,90.0,top
C14,124.05,-71.7,0.0,top
C15,135.0,-97.55,270.0,top
C16,137.3,-92.75,0.0,top
C17,142.2,-97.325,270.0,top
C18,144.525,-92.75,180.0,top
C19,160.1,-86.675,90.0,top
C2,128.575,-56.5,0.0,top
C20,144.8,-86.95,180.0,top
C21,135.125,-85.35,180.0,top
C22,139.525,-85.4,0.0,top
C23,144.8,-85.35,180.0,top
C25,135.125,-87.05,180.0,top
C26,123.1725,-101.335,270.0,top
C27,116.5725,-101.285,90.0,top
C3,140.4,-106.6,270.0,top
C5,117.4,-81.925,90.0,top
C8,140.0,-118.7,0.0,top
C9,142.1,-86.175,90.0,top
D2,155.1,-133.2,90.0,top
D3,153.2,-79.7875,90.0,top
J1,162.2,-106.9,0.0,top
J2,140.1,-136.0,0.0,top
J3,139.95,-81.6,180.0,top
J4,162.6,-93.11,0.0,top
J6,119.8,-90.55,0.0,top
J7,160.5,-79.0,0.0,top
J8,139.9,-114.65,0.0,top
MK1,114.2,-81.992,0.0,top
R1,124.025,-70.1,0.0,top
R10,147.1,-132.2,0.0,top
R12,155.775,-105.4,0.0,top
R13,123.95,-68.4,180.0,top
R14,139.525,-87.1,0.0,top
R2,155.875,-111.8,0.0,top
R3,150.5,-79.825,90.0,top
R4,154.8,-71.3,0.0,top
R5,140.175,-121.65,0.0,top
R6,133.225,-132.3,180.0,top
R7,156.2,-57.325,90.0,top
R8,154.7,-57.275,270.0,top
R9,154.4,-67.3,270.0,top
RESET1,155.0,-62.7,90.0,top
U1,139.86,-61.75,0.0,top
U2,156.0,-108.7,180.0,top
U3,143.5375,-106.6,180.0,top
U4,119.8625,-101.2,0.0,top
U5,140.0625,-128.5,0.0,top
U6,136.85,-95.25,0.0,top
U7,144.0625,-95.25,0.0,top
